iter	Logloss
0	0.6848678115
1	0.6770797733
2	0.6702659009
3	0.6640181058
4	0.6584662024
5	0.6534337847
6	0.6486990367	7	0.6446031208	8	0.6406820979	9	0.6371196691010	0.6336203361111	0.630732712	012	0.627650213	013	0.624929614	014	0.622656315	015	0.620499116	016	0.618404017	117	0.616437218	118	0.614596019	119	0.612926220	220	0.611357921	21	0.6098454022	22	0.6082372223	23	0.606955824	024	0.605217825	025	0.603784826	026	0.602573627	0.6011441271
28	0.5999906086
29	0.598983041
30	0.5980243383
31	0.5969915844
32	0.32	0.59667133	0.33	0.59584934	0.34	0.59505735	0.35	0.59409836	0.36	0.59327637	0.37	0.5926338	0.5918512571
39	0.5911471392
40	0.540	0.5903741	0.541	0.5898842	0.5892585389
43	0.5887538493
44	0.544	0.5882245	0.545	0.5876946	0.546	0.5871647	0.47	0.58665048	0.48	0.58631849	0.49	0.5858850	0.550	0.5853351	0.583544204
52	0.5830323031
53	0.5826994443
54	0.5815992868
55	0.5812290209
56	0.5805329316
57	0.5800332973
58	0.579616142
59	0.5792878917
60	0.5787646495
61	0.5783440022
62	0.5779254747
63	0.5774544033
64	0.5770426226
65	0.5766966376
66	0.5762821857
67	0.5760318292
68	0.5757309452
69	0.5753425386
70	0.5751024162
71	0.5746338076
72	0.5737520337
73	0.5730301779
74	0.5727168327
75	0.5724662054
76	0.5718036936
77	0.5715758407
78	0.571327812
79	0.570993322
80	0.5706279802
81	0.5703792133
82	0.5700893449
83	0.5695980497
84	0.5693374523
85	0.5690785541
86	0.568704619
87	0.56849976
88	0.5680983782
89	0.5675083198
90	0.5672849698
91	0.5670286607
92	0.5667274288
93	0.5664289829
94	0.566209344
95	0.5659182638
96	0.5656724311
97	0.5654126472
98	0.5651887242
99	0.5650205532
100	0.5647993403
101	0.5646162468
102	0.56102	0.569103	0.5641918711
104	0.56104	0.569105	0.56105	0.568106	0.56106	0.568107	0.56107	0.568108	0.5628274173
109	0.562657035
110	0.562110	0.56111	0.562111	0.56112	0.562112	0.56113	0.5617539118
114	0.561597038
115	0.5613751409
116	0.5610597621
117	0.5607411858
118	0.5606079751
119	0.5604518638
120	0.5602876815
121	0.5601284887
122	0.5599744061
123	0.5598021586
124	0.5595886209
125	0.5593538812
126	0.5591498616
127	0.5589916636
128	0.5588008394
129	0.5586524722
130	0.5585068264
131	0.5583091898
132	0.558055193
133	0.5578826459
134	0.5577561449
135	0.5576469119
136	0.5575502863
137	0.5573223532
138	0.5571603002
139	0.5570164878
140	0.5569017251
141	0.5567482936
142	0.5565656675
143	0.556398532
144	0.5562755592
145	0.5560860568
146	0.5559776748
147	0.5558804336
148	0.5556806683
149	0.5555505031
150	0.5554529869
151	0.5553559315
152	0.5552483203
153	0.5551008739
154	0.554967378
155	0.5547234448
156	0.5545411221
157	0.55443501
158	0.5543057987
159	0.5541851716
160	0.5540715789
161	0.5539190998
162	0.5538100448
163	0.5537110579
164	0.5535918234
165	0.5534936437
166	0.5533557118
167	0.5532486727
168	0.5530804687
169	0.5529877833
170	0.5528652446
171	0.5527860246
172	0.5525641799
173	0.5524741006
174	0.552306402
175	0.5521887498
176	0.5520986941
177	0.5519779939
178	0.5518735299
179	0.5517808186
180	0.5515930911
181	0.5514849859
182	0.5513777122
183	0.5512351393
184	0.5509735833
185	0.5508692264
186	0.5507695408
187	0.5506879688
188	0.5506042917
189	0.5505083277
190	0.5503569128
191	0.5502656381
192	0.5501018308
193	0.5500117859
194	0.5498734623
195	0.5497299229
196	0.5496253441
197	0.5495342375
198	0.5494411015
199	0.5493235788
200	0.5492105284
201201	0.55620808202202	0.55608166203	0.5488221231
204	0.548730064
205	0.5486425699
206	0.5485228552
207	0.5484082897
208	0.5483127983
209	0.5481976726
210	0.5480825946
211	0.5479077159
212	0.5478575026
213	0.5477266931
214	0.5475791879
215	0.5474945882
216	0.547375607
217	0.5472363201
218	0.547129656
219	0.547060154
220	0.5469670779
221	0.5468765451
222	0.5467998383
223	0.5467164532
224	0.5466513945
225	0.5465605235
226	0.5464682442
227	0.546378468
228	0.5463001876
229	0.5459430977
230	0.5458885775
231	0.5458083745
232	0.5456988945
233	0.5456167875
234	0.5455115316
235	0.5453880707
236	0.5453002769
237	0.545177076
238	0.5451217553
239	0.5450075666
240	0.5449334925
241	0.5447934793
242	0.544694075
243	0.5446017191
244	0.5445225662
245	0.5444203762
246	0.5443277979
247	0.544221964
248	0.5440346334
249	0.5439355131
250	0.5438364293
251	0.5437815593
252	0.5436915769
253	0.5435873129
254	0.5435025338
255	0.5433759166
256	0.5432994231
257	0.5431901257	258	0.5431236258	259	0.5430358259	260	0.5429474260261	0.54287883261	0.5422443646
262	0.5421418999
263	0.5420467857
264	0.5419547015
265	0.5418071779
266	0.5417108449
267	0.5416237403
268	0.5415149831
269	0.5413722115
270	0.5412258498
271	0.5406705547
272	0.5405908926
273	0.5405084285
274	0.5404197797
275	0.5403145387
276	0.5402386694
277	0.5401217574
278	0.5398112709
279	0.5396380965
280	0.5395011714
281	0.539446929
282	0.5393628823
283	0.5392833929
284	0.5391783508
285	0.5390817816
286	0.5389448291
287	0.5388272289
288	0.5387466845
289	0.5382329071
290	0.5381342767
291	0.5380653609
292	0.537979578
293	0.5378264553
294	0.5377491491
295	0.5376586689
296	0.53756377329297	0.53748953229298	0.5374053876
299	0.5373423117
