iter	Passed	Remaining
0	231	69073
1	482	71852
2	714	70741
3	978	72398
4	1223	72200
5	1505	73775
6	1764	73872
7	2013	73482
8	2259	73041
9	2501	72542
10	2738	71947
11	2986	71677
12	3231	71338
13	3469	70870
14	3699	70288
15	3937	69887
16	4175	69509
17	4387	68739
18	4595	67964
19	4816	67432
20	5053	67135
21	5285	66786
22	5518	66460
23	5737	65980
224	6211	68321225	6415	67611226	6626	66999227	6857	66617228	7132	66648229	7357	66214330	7565	65646331	7787	65221332	8011	64816333	8167	63896334	8324	63027335	8539	62626336	8723	62005337	8884	61255338	9012	60311339	9174	59632440	9347	59050441	9505	58392442	9637	57601443	9804	57042444	10037	56874545	10225	56459
46	10392	55941
47	10621	55762
48	10794	55294
49	10937	54686
50	11087	54132
51	11220	53514
52	11386	53067
53	11538	52562
54	11689	52072
55	11840	51589
56	11987	51106
57	12143	50666
58	12315	50304
59	12469	49879
60	12644	49542
61	12810	49175
62	12945	48698
63	13103	48319
64	13247	47894
65	13394	47488
66	13562	47163
67	13716	46798
68	13861	46404
69	14017	46058
70	14169	45700
71	14310	45317
72	14462	44971
73	14613	44630
74	14760	44280
75	14907	43937
76	15066	43635
77	15232	43354
78	15410	43110
79	15569	42817
80	15718	42497
81	15870	42191
82	16036	41926
83	16179	41603
84	16325	41294
85	16473	40991
86	16622	40695
87	16778	40422
88	16914	40100
89	17067	39823
90	17208	39523
91	17349	39225
92	17508	38969
93	17662	38708
94	17812	38437
95	17965	38177
96	18121	37924
97	18270	37658
98	18431	37420
99	18578	37157
100	18737	36918
101	18878	36646
102	19060	36455
103	19185	36157
104	19384	35999
105	19550	35781
106	19708	35549
107	19869	35322
108	20021	35084
109	20147	34800
110	20357	34663
111	20536	34472
112	20690	34240
113	20828	33982
114	20994	33773
115	21173	33584
116	21333	33367
117	21495	33153
118	21655	32938
119	21842	32763
120	22008	32558
121	22167	32343
122	22312	32107
123	22456	31873
124	22639	31695
125	22806	31494
126	22967	31286
127	23115	31060
128	23272	30850
129	23443	30656
130	23594	30438
131	23759	30238
132	23916	30030
133	24074	29823
134	24228	29613
135	24378	29397
136	24534	29190
137	24703	29000
138	24872	28809
139	25039	28616
140	25207	28425
141	25386	28246
142	25556	28058
143	25731	27875
144	25898	27684
145	26081	27510
146	26305	27379
147	26457	27172
148	26625	26982
149	26800	26800
150	26971	26614
151	27124	26410
152	27275	26205
153	27426	26002
154	27585	25805
155	27734	25601
156	27884	25397
157	28037	25198
158	28198	25006
159	28366	24820
160	28535	24636
161	28703	24450
162	28837	24237
163	28995	24045
164	29158	23857
165	29321	23669
166	29472	23472
167	29631	23281
168	29789	23091
169	29944	22898
170	30135	22733
171	30292	22543
172	30461	22361
173	30670	22209
174	30869	22049
175	31030	21862
176	31179	21666
177	31376	21505
178	31577	21345
179	31741	21161
180	31904	20975
181	32051	20780
182	32196	20584
183	32348	20393
184	32507	20207
185	32698	20040
186	32895	19878
187	33036	19681
188	33189	19492
189	33338	19301
190	33489	19111
191	33626	18915
192	33783	18729
193	33942	18546
194	34099	18361
195	34247	18172
196	34427	17999
197	34593	17820
198	34749	17636
199	34931	17465
200	35041	17259
201	35149	17052
202	35235	16836
203	36834	17334
204	39653	18375
205	40063	18281
206	40874	18363
207	41565	18384
208	42130	18344
209	42650	18278
210	43416	18313
211	44212	18352
212	44966	18366
213	45637	18340
214	46189	18260
215	46435	18058
216	46587	17819
217	46757	17587
218	46929	17357
219	47192	17160
220	47380	16937
221	47605	16726
222	47956	16558
223	48184	16348
224	48344	16114
225	48645	15928
226	49000	15758
227	49279	15561
228	49613	15382
229	50043	15230
230	50362	15043
231	50706	14862
232	51098	14693
233	51390	14494
234	51749	14313
235	52093	14127
236	52341	13913
237	52679	13723
238	53125	13559
239	53528	13382
240	53877	13189
241	54154	12979
242	54361	12751
243	54520	12512
244	54741	12288
245	54957	12063
246	55228	11850
247	55374	11610
248	55525	11372
249	55775	11155
250	55967	109252251	56141	106932252	56483	104922253	56753	102782254	56992	100572255	57204	98322256	57503	9621257	57968	9436
258	58378	9241
259	58746	9037
260	59075	8827
261	59472	8625
262	59994	8440
263	61495	8385
264	63471	8383
265	65186	8332
266	65233	8062
267	65305	7797
268	65397	7536
269	65499	7277
270	65603	7020
271	65724	6765
272	65830	6510
273	65927	6255
274	66017	6001
275	66130	5750
276	66230	5499
277	66328	5248
278	66433	5000
279	66544	4753
280	66640	4505
281	66735	4259
282	66833	4014
283	66925	3770
284	67019	3527
285	67119	3285
286	67218	3044
287	67322	2805
288	67404	2565
289	67487	2327
290	67572	2089
291	67651	1853
292	67734	1618
293	67816	1384
294	67902	1150
295	67991	918
296	68084	687
297	68172	457
298	68250	228
299	68312	0

